repo,number,state,merged,created_at,closed_or_merged_at,additions,deletions,changed_files,description_length,comments,review_comments,participants
freeCodeCamp/freeCodeCamp,59358,closed,False,2025-03-20T18:42:08Z,2025-03-21T05:17:04Z,4,3,1,884,2,4,1
freeCodeCamp/freeCodeCamp,59355,closed,True,2025-03-20T14:15:37Z,2025-03-21T16:36:21Z,8,1,1,751,0,3,4
freeCodeCamp/freeCodeCamp,59353,closed,True,2025-03-20T09:44:32Z,2025-03-22T20:11:38Z,2,2,2,1698,0,0,2
freeCodeCamp/freeCodeCamp,59352,closed,True,2025-03-20T05:19:30Z,2025-03-20T06:47:42Z,12,12,1,751,1,0,2
freeCodeCamp/freeCodeCamp,59351,closed,True,2025-03-20T04:23:22Z,2025-03-20T06:46:31Z,1,1,1,751,3,0,2
freeCodeCamp/freeCodeCamp,59350,closed,True,2025-03-20T00:28:10Z,2025-03-21T12:59:46Z,12,12,5,1286,2,3,3
freeCodeCamp/freeCodeCamp,59348,closed,True,2025-03-19T20:55:20Z,2025-03-20T05:05:31Z,1,1,1,750,0,0,2
freeCodeCamp/freeCodeCamp,59346,closed,True,2025-03-19T17:11:52Z,2025-03-20T04:04:11Z,4,2,2,547,0,0,2
freeCodeCamp/freeCodeCamp,59345,closed,True,2025-03-19T17:10:19Z,2025-03-21T11:21:35Z,1,1,1,748,0,0,2
freeCodeCamp/freeCodeCamp,59340,closed,True,2025-03-19T13:55:50Z,2025-03-20T14:37:03Z,1,1,1,47,0,0,2
freeCodeCamp/freeCodeCamp,59338,closed,True,2025-03-19T13:20:45Z,2025-03-21T23:14:01Z,20,1,1,750,0,7,4
freeCodeCamp/freeCodeCamp,59337,closed,True,2025-03-19T12:47:31Z,2025-03-20T04:31:57Z,1,1,1,959,0,0,2
freeCodeCamp/freeCodeCamp,59334,closed,True,2025-03-19T08:34:40Z,2025-03-22T14:01:10Z,1,1,1,736,0,1,2
freeCodeCamp/freeCodeCamp,59328,closed,True,2025-03-19T00:10:01Z,2025-03-27T13:55:34Z,1,1,1,1246,2,0,2
freeCodeCamp/freeCodeCamp,59327,closed,True,2025-03-18T20:41:59Z,2025-03-24T10:34:08Z,1,1,1,750,0,1,3
